Model,Task,Name,Dropout,WeightDecay,LearningRate,BatchSize,Epochs,Accuracy,Precision,Recall,F1,AUROC,AUPRC,Sensitivity,Specificity
"Fusion (Concat, Full)",edema,VD0.2_TD0.1_LR5e-05_WD0.01_BS16_EP20,0.2,0.01,5e-05,16,20,0.9166666666666666,0.9140457455685442,0.9174050110456844,0.9154605443401618,0.9665150669423501,0.9556787500380589,0.9228295819935691,0.9119804400977995
"Fusion (Concat, Full)",effusion,VD0.2_TD0.1_LR5e-05_WD0.01_BS16_EP20,0.2,0.01,5e-05,16,20,0.9451388888888889,0.9471152345578826,0.9435718446583152,0.9447743130649819,0.9863813794344702,0.9873599003480613,0.9710906701708278,0.9160530191458026
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR1e-05_WD0.01_BS16_EP20,0.1,0.01,1e-05,16,20,0.8152777777777778,0.8116148640180474,0.81275403108515,0.8121435759812143,0.9090106840462583,0.88087641782457,0.7942122186495176,0.8312958435207825
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR1e-05_WD0.01_BS16_EP20,0.1,0.01,1e-05,16,20,0.9152777777777777,0.9148152938292291,0.9158749726640592,0.9151304347826088,0.972844040958432,0.9743547611282648,0.9053876478318003,0.9263622974963182
"Fusion (Concat, Full)",edema,VD0.2_TD0.1_LR5e-05_WD0_BS16_EP20,0.2,0.0,5e-05,16,20,0.9111111111111111,0.91525067838222,0.9042327376787553,0.908348664909751,0.9701058970589392,0.9622334888036574,0.8536977491961415,0.9547677261613692
"Fusion (Concat, Full)",effusion,VD0.2_TD0.1_LR5e-05_WD0_BS16_EP20,0.2,0.0,5e-05,16,20,0.9513888888888888,0.950968035806999,0.9521829079248102,0.9513098989680404,0.9844248034231371,0.9826443431213863,0.938239159001314,0.9661266568483063
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR1e-05_WD0.1_BS16_EP20,0.1,0.1,1e-05,16,20,0.8243055555555555,0.8208290614542881,0.8216632992397739,0.8212258922144053,0.9154218979708961,0.8913955590992418,0.8022508038585209,0.8410757946210269
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR1e-05_WD0.1_BS16_EP20,0.1,0.1,1e-05,16,20,0.9180555555555555,0.9176161092893221,0.91874113396256,0.9179224011175537,0.9687470365904872,0.9698486261210886,0.9067017082785808,0.930780559646539
"Fusion (Concat, Full)",edema,VD0.2_TD0.1_LR1e-05_WD0.1_BS16_EP20,0.2,0.1,1e-05,16,20,0.8444444444444444,0.8413212638448746,0.8420860226888576,0.8416883435582823,0.9219431756538965,0.9002227060036282,0.8247588424437299,0.8594132029339854
"Fusion (Concat, Full)",effusion,VD0.2_TD0.1_LR1e-05_WD0.1_BS16_EP20,0.2,0.1,1e-05,16,20,0.9090277777777778,0.9086286481771657,0.9098030070502536,0.9088948721973364,0.9654609178296134,0.965732293524084,0.8961892247043364,0.9234167893961709
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR5e-05_WD0_BS16_EP20,0.1,0.0,5e-05,16,20,0.8895833333333333,0.8868792655485415,0.8889437023875975,0.8878108464214963,0.9482159844023931,0.9364034678469447,0.8842443729903537,0.8936430317848411
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR5e-05_WD0_BS16_EP20,0.1,0.0,5e-05,16,20,0.9479166666666666,0.9487927455903731,0.9469140867666952,0.9476488263884817,0.9844073858325318,0.9860281481440852,0.9645203679369251,0.9293078055964654
"Fusion (Concat, Full)",edema,VD0.2_TD0.1_LR1e-05_WD0.01_BS16_EP20,0.2,0.01,1e-05,16,20,0.8597222222222223,0.8571251711944536,0.8628526953828253,0.858459717853695,0.9370848041258187,0.9083421379554993,0.8858520900321544,0.8398533007334963
"Fusion (Concat, Full)",effusion,VD0.2_TD0.1_LR1e-05_WD0.01_BS16_EP20,0.2,0.01,1e-05,16,20,0.8701388888888889,0.8696658903272232,0.8698354424745365,0.8697468606081479,0.9433676717906638,0.9454865820544329,0.8751642575558476,0.8645066273932254
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR5e-05_WD0.01_BS16_EP20,0.1,0.01,5e-05,16,20,0.8902777777777777,0.888103318250377,0.8883992798685525,0.8882494975353199,0.9535766790619423,0.9405198585775221,0.8745980707395499,0.902200488997555
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR5e-05_WD0.01_BS16_EP20,0.1,0.01,5e-05,16,20,0.9555555555555556,0.9554109680503329,0.9554109680503329,0.9554109680503329,0.9860543157886588,0.9862159144797902,0.9579500657030223,0.9528718703976435
"Fusion (Concat, Full)",edema,VD0.2_TD0.1_LR1e-05_WD0_BS16_EP20,0.2,0.0,1e-05,16,20,0.8493055555555555,0.8470186823954128,0.852913544917806,0.848086422724031,0.9297734258917129,0.9019204081942285,0.8794212218649518,0.8264058679706602
"Fusion (Concat, Full)",effusion,VD0.2_TD0.1_LR1e-05_WD0_BS16_EP20,0.2,0.0,1e-05,16,20,0.8833333333333333,0.8838916711236446,0.8820016295123655,0.8826977197041841,0.9467757136857752,0.9380692348127805,0.9053876478318003,0.8586156111929307
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR5e-05_WD0.1_BS16_EP20,0.1,0.1,5e-05,16,20,0.9034722222222222,0.9017094017094016,0.9015538644171731,0.9016311748970778,0.9657701711491442,0.9563497136698673,0.887459807073955,0.9156479217603912
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR5e-05_WD0.1_BS16_EP20,0.1,0.1,5e-05,16,20,0.9479166666666666,0.9480096726190477,0.947469514378221,0.9477169492452603,0.9843009450010547,0.9852499900589695,0.9553219448094612,0.9396170839469808
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9458333333333333,0.9492946915627328,0.9409586553353406,0.9443382836844567,0.9836437393375734,0.9803814180112004,0.905144694533762,0.9767726161369193
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR0.0002_WD0.1_BS16_EP20,0.1,0.1,0.0002,16,20,0.9652777777777778,0.9654960571629014,0.9648474315827364,0.9651416122004358,0.9855879114180047,0.9822927836746478,0.9724047306176085,0.9572901325478645
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR0.0002_WD0_BS16_EP20,0.1,0.0,0.0002,16,20,0.94375,0.9440056088333192,0.9412436418525303,0.9425157916473434,0.9813265041391835,0.9769546065600578,0.9228295819935691,0.9596577017114915
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR0.0002_WD0_BS16_EP20,0.1,0.0,0.0002,16,20,0.9631944444444445,0.9635560485247122,0.962638300507626,0.9630402852174216,0.9874709464912264,0.9863882578620455,0.9724047306176085,0.9528718703976435
"Fusion (Concat, Full)",edema,VD0.1_TD0.2_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9451388888888889,0.9481331533963113,0.9405400199687104,0.9436639527046602,0.9824074874802474,0.9765026012775158,0.9067524115755627,0.9743276283618582
"Fusion (Concat, Full)",effusion,VD0.1_TD0.2_LR0.0002_WD0.01_BS16_EP20,0.1,0.01,0.0002,16,20,0.9652777777777778,0.9651648187893227,0.9651648187893227,0.9651648187893227,0.9869697069393617,0.9836224563903253,0.9671484888304862,0.9631811487481591
